time,Channel A Last (V),Channel B Last (V)
1681199940,1.037,0.128
1681199940,1.038,0.124
1681199940,1.035,0.123
1681199940,1.035,0.118
1681199940,1.035,0.12
1681199941,1.04,0.112
1681199941,1.035,0.122
1681199941,1.038,0.125
1681199941,1.037,0.118
1681199941,1.036,0.122
1681199941,1.037,0.122
1681199941,1.036,0.122
1681199941,1.038,0.124
1681199941,1.036,0.126
1681199941,1.04,0.124
1681199941,1.037,0.125
1681199941,1.036,0.125
1681199941,1.036,0.126
1681199941,1.037,0.116
1681199941,1.036,0.112
1681199941,1.037,0.116
1681199941,1.037,0.116
1681199941,1.036,0.119
1681199941,1.036,0.12
1681199941,1.039,0.12
1681199942,1.036,0.116
1681199942,1.037,0.115
1681199942,1.037,0.117
1681199942,1.038,0.108
1681199942,1.035,0.12
1681199942,1.034,0.13
1681199942,1.038,0.117
1681199942,1.032,0.118
1681199942,1.037,0.124
1681199942,1.035,0.13
1681199942,1.034,0.119
1681199942,1.036,0.114
1681199942,1.035,0.122
1681199942,1.037,0.115
1681199942,1.035,0.123
1681199942,1.035,0.123
1681199942,1.036,0.124
1681199942,1.038,0.12
1681199942,1.04,0.122
1681199942,1.036,0.119
1681199943,1.035,0.12
1681199943,1.034,0.117
1681199943,1.034,0.121
1681199943,1.034,0.13
1681199943,1.035,0.122
1681199943,1.039,0.125
1681199943,1.037,0.114
1681199943,1.035,0.11
1681199943,1.034,0.123
1681199943,1.035,0.117
1681199943,1.033,0.12
1681199943,1.034,0.12
1681199943,1.037,0.119
1681199943,1.033,0.12
1681199943,1.036,0.115
1681199943,1.034,0.117
1681199943,1.033,0.119
1681199943,1.037,0.12
1681199943,1.036,0.121
1681199943,1.034,0.118
1681199944,1.036,0.121
1681199944,1.034,0.122
1681199944,1.037,0.125
1681199944,1.036,0.124
1681199944,1.038,0.123
1681199944,1.037,0.128
1681199944,1.035,0.12
1681199944,1.032,0.118
1681199944,1.034,0.131
1681199944,1.037,0.118
1681199944,1.036,0.127
1681199944,1.035,0.113
1681199944,1.036,0.124
1681199944,1.035,0.121
1681199944,1.04,0.126
1681199944,1.036,0.121
1681199944,1.033,0.124
1681199944,1.032,0.12
1681199944,1.036,0.128
1681199944,1.037,0.137
1681199945,1.036,0.127
1681199945,1.039,0.121
1681199945,1.037,0.122
1681199945,1.034,0.117
1681199945,1.035,0.122
1681199945,1.034,0.117
1681199945,1.035,0.125
1681199945,1.037,0.118
1681199945,1.037,0.121
1681199945,1.038,0.116
1681199945,1.035,0.123
1681199945,1.036,0.122
1681199945,1.037,0.122
1681199945,1.035,0.12
1681199945,1.035,0.123
1681199945,1.037,0.125
1681199945,1.037,0.119
1681199945,1.036,0.12
1681199945,1.035,0.115
1681199945,1.034,0.123
1681199946,1.037,0.126
1681199946,1.036,0.115
1681199946,1.032,0.123
1681199946,1.035,0.121
1681199946,1.037,0.12
1681199946,1.034,0.12
1681199946,1.034,0.115
1681199946,1.035,0.114
1681199946,1.035,0.117
1681199946,1.033,0.116
1681199946,1.034,0.13
1681199946,1.035,0.121
1681199946,1.036,0.117
1681199946,1.036,0.121
1681199946,1.036,0.119
1681199946,1.035,0.126
1681199946,1.033,0.119
1681199946,1.033,0.124
1681199946,1.035,0.119
1681199946,1.035,0.122
1681199947,1.036,0.121
1681199947,1.031,0.122
1681199947,1.036,0.113
1681199947,1.038,0.117
1681199947,1.035,0.119
1681199947,1.036,0.121
1681199947,1.037,0.116
1681199947,1.037,0.118
1681199947,1.039,0.126
1681199947,1.037,0.116
1681199947,1.037,0.127
1681199947,1.038,0.122
1681199947,1.038,0.115
1681199947,1.034,0.117
1681199947,1.036,0.119
1681199947,1.039,0.12
1681199947,1.037,0.116
1681199947,1.035,0.117
1681199947,1.036,0.123
1681199947,1.035,0.123
1681199948,1.037,0.115
1681199948,1.038,0.12
1681199948,1.037,0.131
