Time,Channel A Last (V),Channel B Last (V)
1681203329,0.997,0.056
1681203329,0.999,0.054
1681203329,0.996,0.015
1681203329,0.997,0.043
1681203329,0.998,0.043
1681203329,0.994,0.06
1681203330,1.001,0.078
1681203330,0.998,0.08
1681203330,0.999,0.09
1681203330,0.997,0.025
1681203330,0.998,0.051
1681203330,0.998,-0.019
1681203330,1.857,0.073
1681203330,2.433,0.06
1681203330,2.434,0.068
1681203330,2.429,0.069
1681203330,2.431,0.067
1681203330,2.428,0.056
1681203330,2.431,0.091
1681203330,2.426,0.029
1681203330,2.428,0.068
1681203330,2.429,0.067
1681203330,2.43,0.061
1681203330,2.43,0.086
1681203330,1.229,0.075
1681203330,1,0.114
1681203331,0.996,0.046
1681203331,0.999,0.032
1681203331,0.998,0.09
1681203331,0.998,0.048
1681203331,0.995,0.029
1681203331,0.994,0.044
1681203331,1,6.313
1681203331,0.997,8.138
1681203331,0.996,8.137
1681203331,0.994,8.141
1681203331,0.995,8.127
1681203331,0.995,8.126
1681203331,1,8.127
1681203331,0.996,8.127
1681203331,0.995,8.13
1681203331,0.996,0.019
1681203331,1,0.045
1681203331,0.998,0.064
1681203331,0.996,-0.011
1681203331,0.997,0.063
1681203332,1,0.071
1681203332,1,0.108
1681203332,1,0.002
1681203332,1,0.097
1681203332,0.997,-0.023
1681203332,1.002,0.09
1681203332,1.002,0.157
1681203332,1.001,0.065
1681203332,0.999,0.066
1681203332,1,0.084
1681203332,0.998,0.05
1681203332,0.998,0.052
1681203332,0.999,0.108
1681203332,1,0.088
1681203332,0.996,0.106
1681203332,0.997,0.017
1681203332,0.998,0.044
1681203332,0.999,0.073
1681203332,0.998,0.058
1681203332,0.994,0.03
1681203333,1.001,0.053
1681203333,0.998,0.081
1681203333,0.999,0.087
1681203333,0.998,0.044
1681203333,0.999,0.085
1681203333,1.001,0.062
1681203333,0.998,0.097
1681203333,0.997,0.065
1681203333,0.997,0.04
1681203333,0.997,0.086
1681203333,1,0.032
1681203333,1,0.069
1681203333,1,0.077
1681203333,0.998,0.06
1681203333,0.998,0.043
1681203333,1,0.078
1681203333,1.001,0.048
1681203333,0.997,0.037
1681203333,1,0.081
1681203333,1.001,0.057
1681203334,0.998,0.075
1681203334,1.002,0.068
1681203334,0.998,0.085
1681203334,1,0.077
1681203334,0.997,0.056
1681203334,0.996,0.067
1681203334,0.996,0.056
1681203334,1.001,0.044
1681203334,0.996,0.072
1681203334,1,0.069
1681203334,1.001,0.078
1681203334,0.996,0.038
1681203334,0.998,0.04
1681203334,1.001,0.053
1681203334,0.998,0.074
1681203334,0.997,0.077
1681203334,0.996,0.033
1681203334,0.998,0.073
1681203334,0.997,0.061
1681203334,1,0.065
1681203335,1,0.068
1681203335,0.997,0.064
1681203335,0.998,0.07
1681203335,0.999,0.067
1681203335,0.996,0.059
1681203335,0.997,0.067
1681203335,0.999,0.067
1681203335,0.997,0.061
1681203335,0.999,0.061
1681203335,0.998,0.069
1681203335,1.001,0.075
1681203335,1.001,0.064
1681203335,1,0.06
1681203335,0.995,0.068
1681203335,1,0.06
1681203335,0.999,0.066
1681203335,1,0.062
1681203335,1.001,0.062
1681203335,0.998,0.062
1681203335,0.997,0.064
1681203336,0.997,0.067
1681203336,0.996,0.057
1681203336,0.999,0.071
1681203336,0.999,0.061
1681203336,1.001,0.071
1681203336,1.001,0.061
1681203336,1,0.064
1681203336,0.998,0.062
1681203336,0.991,0.073
1681203336,1,0.069
1681203336,0.998,0.058
1681203336,0.998,0.062
1681203336,0.998,0.056
1681203336,0.997,0.059
1681203336,0.999,0.059
1681203336,1.001,0.058
1681203336,0.998,0.066
1681203336,0.998,0.06
1681203336,0.996,0.062
1681203336,1,0.063
1681203337,0.995,0.058
1681203337,0.998,0.055
1681203337,0.998,0.054
1681203337,1,0.074
1681203337,0.998,0.057
